"title","category","duration","channel","description","intensity","props","url"
"Spokojna Joga na Dobranoc - NOWA","Relaks, Wieczór, Rozciąganie, Hatha","26","Małgorzata Mostowska","Praktyka jogi na dobre zakończenie dnia, pomagająca w relaksacji i odprężeniu.","2","Brak","https://www.youtube.com/watch?v=O4iE0sS8lW0"
"RESET dla Oczu  - Joga na Zmęczone Oczy","Relaks, Oczu, Kręgosłup, Poranek","8","Małgorzata Mostowska","Praktyka RESET dla oczu, która ma na celu rozruszanie ciała, obudzenie głowy oraz poprawę wzroku i myślenia.","2","Brak","https://www.youtube.com/watch?v=oVIWInEEglE"
"Reset Ciało -   Joga na Stojąco","Rozciąganie, Ciało, Poranek, Stojąco","10","Małgorzata Mostowska","Joga na stojąco, która pomaga obudzić ciało i poprawić samopoczucie w ciągu dnia.","2","Brak","https://www.youtube.com/watch?v=DBKejUMJgwY"
"Medytacja na Początek Dnia z Afirmacjami - 432hz","Medytacja, Poranek, Relaks, Afirmacje","18","Małgorzata Mostowska","Medytacja z afirmacjami, która pomaga rozluźnić ciało i przygotować umysł na nowy dzień.","1","Brak","https://www.youtube.com/watch?v=ThwP_-fmwko"
"Poranna Joga na Dobry Dzień - 30 minut Rozruchu dla Ciała i Głowy","Poranek, Rozruch, Dla początkujących, Relaks","29","Małgorzata Mostowska","30-minutowa poranna praktyka, idealna dla każdego, która pomaga rozpocząć dzień z energią.","2","Brak","https://www.youtube.com/watch?v=RZ98cB8IHOY"
"Medytacja Miłości i Poznania Siebie z Afirmacjami ❤️","Medytacja, Afirmacje, Relaks, Miłość","20","Małgorzata Mostowska","Medytacja miłości z afirmacjami, która pomaga zrelaksować się i wypełnić serce miłością.","1","Brak","https://www.youtube.com/watch?v=YHzfPxMjZGQ"
"Joga Rozciągająca na Każdą Porę Dnia (i Nocy!)","Rozciąganie, Relaks, Umiarkowana, Dla każdego","21","Małgorzata Mostowska","Spokojna praktyka jogi rozciągającej, która dobrze działa na każdy moment dnia.","2","Brak","https://www.youtube.com/watch?v=1B6Rc_Q4CHk"
"Joga dla Dzieci","Dla dzieci, Relaks, Zabawa, Rodzina","12","Małgorzata Mostowska","Praktyka jogi zaprojektowana dla dzieci, wspierająca wspólne ćwiczenie i budowanie relacji.","2","Brak","https://www.youtube.com/watch?v=JtO7W1SnoXc"
"Joga Express - Taniec Smoka","Cha, Qi Gong, Energia, Poranek","10","Małgorzata Mostowska","Krótka, energetyczna praktyka łącząca jogę i Qi Gong, doskonała do użycia o poranku lub przerwie w pracy.","3","Brak","https://www.youtube.com/watch?v=s9gWJ0aJdYA"
"Joga Nidra - Relaksacja na Sen i Ukochanie Siebie","Relaks, Sen, Medytacja, Afirmacje","30","Małgorzata Mostowska","Joga nidra wspierająca sen, z elementami świadomego oddechu i wizualizacji.","1","Brak","https://www.youtube.com/watch?v=NoauV0qkrKg"
"Relaksacyjna Yin Joga na Stres i na Sen","Yin, Relaks, Stres, Sen","22","Małgorzata Mostowska","Relaksacyjna praktyka jogi Yin, skupiająca się na rozluźnianiu ciała i umysłu.","2","Brak","https://www.youtube.com/watch?v=5SOPY3iAGEk"
"Spokojna Joga na Dobry Poranek - Poranny Rozruch","Poranek, Rozruch, Łagodna, Początkujący","13","Małgorzata Mostowska","Łagodna praktyka jogi porannej, rozbudzająca ciało i umysł.","2","Brak","https://www.youtube.com/watch?v=3XlOme-pXoI"
"Medytacja na Sen - Relaksacja z Intencją Miłości i Spokoju","Relaks, Sen, Medytacja, Afirmacje","24","Małgorzata Mostowska","Prowadzona medytacja na sen z intencją miłości i spokoju.","1","Brak","https://www.youtube.com/watch?v=o7lZ4mogAyI"
"Animal Flow Joga - na Dobry Dzień i Dobrą Moc!","Animal Flow, Ruch, Energia, Praktyka","21","Małgorzata Mostowska","Animal Flow Joga łącząca elementy jogi z ruchami zwierząt, stawiająca na płynność i rytm.","3","Brak","https://www.youtube.com/watch?v=mYyy-nZ0qi0"
"Medytacja na Sen z Afirmacjami i Muzyką","Sen, Afirmacje, Muzyka, Relaks","45","Małgorzata Mostowska","Medytacja na sen z afirmacjami, prowadząca do głębokiego relaksu.","1","Brak","https://www.youtube.com/watch?v=K5Z68bVV61Q"
"Poranna Medytacja Światła - na Dobrą Energię!","Poranek, Energia, Medytacja, Relaks","13","Małgorzata Mostowska","Prowadzona medytacja na pozytywną energię, skierowana zarówno dla nowicjuszy, jak i doświadczonych.","1","Brak","https://www.youtube.com/watch?v=3QZ7dGiRswY"
"Poranna Joga na Dzień Dobry! 15 minut dla Ciała i Głowy!","Poranek, Umysł, Ciało, Praktyka","15","Małgorzata Mostowska","Poranna praktyka jogi, która delikatnie rozbudza ciało i umysł.","2","Brak","https://www.youtube.com/watch?v=TbLe0Zp-DGI"
"Joga na stres i niepokój - spokój i odprężenie w stylu YIN","Yin, Relaks, Stres, Odprężenie","22","Małgorzata Mostowska","Odprężająca joga w stylu Yin, skupiająca się na relaksie ciała i umysłu.","2","Brak","https://www.youtube.com/watch?v=P7ioAZG1qJg"
"Poranna Joga na Rozruszanie - Ciało, Umysł i Limfa Flow!","Poranek, Flow, Ciało, Limfa","18","Małgorzata Mostowska","Praktyka porannej jogi, która rozrusza ciało i umysł, angażując również układ limfatyczny. Skierowana zarówno do początkujących, jak i zaawansowanych.","3","Brak","https://www.youtube.com/watch?v=zmAPnEmC6t0"
"Oddech i Wzmocnienie - Joga Flow dla Całego Ciała (Odc. 2)","Flow, Wzmocnienie, Ciało, Oddech","22","Małgorzata Mostowska","Joga flow dla całego ciała, z płynnymi przejściami między asanami, dostępna w blokach i do pełnej praktyki.","3","Brak","https://www.youtube.com/watch?v=xdsHAtUNMJ0"
"Yin i Yang - Kojąca Joga dla Ciała, Umysłu i Ducha","Yin, Yang, Relaks, Duch","24","Małgorzata Mostowska","Praktyka jogi łącząca elementy yin i yang, idealna na trudne dni, wspierająca ciało, umysł i ducha.","2","Brak","https://www.youtube.com/watch?v=UfpV5L_TAVk"
"Łagodna Joga Księżycowa","Łagodna, Księżycowa, Ciało, Relaks","15","Małgorzata Mostowska","Spokojna praktyka jogi księżycowej, idealna do relaksacji na każdy dzień.","2","Brak","https://www.youtube.com/watch?v=Qtl1gccIvxM"
"Joga na Stres - Wewnętrzna Moc i Dobry Nastrój","Stres, Energia, Relaks, Moc","20","Małgorzata Mostowska","Praktyka jogi na stres, która łączy elementy relaksacyjne i dynamiczne, aby poprawić nastrój.","3","Brak","https://www.youtube.com/watch?v=xKGK6g0fccA"
"Yin Joga na Stres - Spokój i Wyciszenie","Relaks, Yin, Stres, Wyciszenie","18","Małgorzata Mostowska","Odprężająca praktyka yin jogi skupiająca się na rozluźnianiu mięśni oraz umysłu.","2","Brak","https://www.youtube.com/watch?v=M5nhXPqFR9M"
"Poranna Joga na Dzień Dobry!","Poranek, Relaks, Wzmacnianie, Umiarkowana","12","Małgorzata Mostowska","Poranna joga, która delikatnie rozbudzi ciało i umysł, idealna na dobry początek dnia.","2","Brak","https://www.youtube.com/watch?v=7bZbkPRqOJA"
"Joga i Medytacja na Stres - Pełna Praktyka","Relaks, Yin, Wyciszenie, Joga","37","Małgorzata Mostowska","Połączenie łagodnej i dynamicznej jogi, oraz medytacji, mające na celu relaksację i wyciszenie.","3","Brak","https://www.youtube.com/watch?v=eM9M2VTjPvA"
"Dynamiczna Joga na Stres - Spokój i Relaks","Stres, Wyciszenie, Dynamiczna, Relaks","12","Małgorzata Mostowska","Dynamiczna joga mająca na celu odprężenie oraz rozluźnienie ciała i umysłu.","3","Brak","https://www.youtube.com/watch?v=Bj5ShOEpObU"
"Łagodna Joga na Stres - Spokój i Relaks","Stres, Wyciszenie, Łagodna, Relaks","12","Małgorzata Mostowska","Łagodna joga na stres, skupiająca się na relaksacji i wyciszeniu.","2","Brak","https://www.youtube.com/watch?v=bdA8O544YfM"
"Joga  Rozciągająca - Rozciąganie po Treningu w 10 minut!","Rozciąganie, Relaks, Po treningu, Umiarkowana","10","Małgorzata Mostowska","Joga rozciągająca, która pomoże odprężyć ciało po treningu.","2","Brak","https://www.youtube.com/watch?v=gXG0nk3W140"
"Vinyasa Joga na Biodra, Nogi i Pośladki","Biodra, Nogi, Pośladki, Vinyasa","25","Małgorzata Mostowska","Praktyka Vinyasa Jogi koncentrująca się na biodrach, nogach i pośladkach w dynamicznym ujęciu. Dodatkowo wzmacnia i rozciąga kręgosłup.","3","Brak","https://www.youtube.com/watch?v=cTMNHpqRUw8"
"Joga na Kręgosłup - Wdowi Garb","Kręgosłup, Relaks","10","Małgorzata Mostowska","Krótka praktyka jogi na kręgosłup, która łagodzi napięcia w odcinku szyjnym i piersiowym.","2","Brak","https://www.youtube.com/watch?v=PTkojpj_oWc"
"Joga - 10 minut dla Kręgosłupa","Kręgosłup, Relaks","10","Małgorzata Mostowska","10-minutowa sesja jogi na kręgosłup, która odpręża ciało i umysł.","2","Brak","https://www.youtube.com/watch?v=MZC5BosU4U4"
"Joga - 10 minut dla Bioder","Biodra, Relaks","10","Małgorzata Mostowska","Krótka praktyka jogi na biodra, która przynosi ulgę i relaks.","2","Brak","https://www.youtube.com/watch?v=NPn2yLiOt6A"
"Joga na Stres -  Biodra i Kręgosłup","Biodra, Kręgosłup, Relaks","23","Małgorzata Mostowska","Sesja jogi na biodra i kręgosłup, która redukuje stres i napięcia.","2","Brak","https://www.youtube.com/watch?v=VK5M1-LZAHQ"
"Joga na Brzuch, Boczki i Kręgosłup ♥","Brzuch, Kręgosłup","13","Małgorzata Mostowska","Dynamiczna sesja jogi na brzuch, boczki i kręgosłup, która jest skuteczna i przyjemna.","3","Brak","https://www.youtube.com/watch?v=MAbUaelBz0E"
"Joga - Siła i Elastyczność 💜 Rozciąganie i Wzmacnianie","Siła, Elastyczność","22","Małgorzata Mostowska","Praktyka jogi łącząca wzmacnianie z rozciąganiem, odpowiednia do wykonania samodzielnie.","3","Brak","https://www.youtube.com/watch?v=d6s72CYggh8"
"Joga na Zdrowy Kręgosłup","Kręgosłup, Zdrowie","15","Małgorzata Mostowska","Sesja jogi na zdrowy kręgosłup, skoncentrowana na redukcji bólu i wzmocnieniu pleców.","2","Brak","https://www.youtube.com/watch?v=Bb1RdxUGdJ0"
"Joga w 5 minut - Reset dla Ciała i Umysłu","Relaks, Stres, Kręgosłup, Czas","5","Małgorzata Mostowska","Joga w 5 minut to krótka praktyka, która łagodzi napięcia w ciele i umyśle.","2","Brak","https://www.youtube.com/watch?v=CnR78SPjizc"
"Joga na Kręgosłup - Ulga w 7 minut!","Kręgosłup, Relaks, Ukojenie, Zdrowie","7","Małgorzata Mostowska","Joga na kręgosłup to zestaw pozycji, które pomagają w złagodzeniu bólu pleców.","2","Brak","https://www.youtube.com/watch?v=yIHUcN9qQHg"
"Poranna Joga na Dzień Dobry! 10-minutowe Ćwiczenia dla Ciała i Umysłu","Poranek, Relaks, Czas, Joga","10","Małgorzata Mostowska","Poranna joga to delikatna praktyka, która rozbudza ciało i umysł.","2","Brak","https://www.youtube.com/watch?v=M1ZlqMt-OQ4"
"Joga na Ukojenie Ciała i Umysłu - Joga na Stres","Stres, Ukojenie, Czas, Relaks","20","Małgorzata Mostowska","Joga na ukojenie łagodzi napięcia w ciele i umyśle, odpowiednia dla każdego.","2","Brak","https://www.youtube.com/watch?v=8r45rwCXAA0"
"Joga na Dobry Poranek ♥ 10 minut","Poranek, Kręgosłup, Ukojenie, Radość","11","Małgorzata Mostowska","Poranna joga to 10-minutowa sekwencja, która rozbudza ciało i umysł.","2","Brak","https://www.youtube.com/watch?v=HtkfihMvYYU"
"Joga na Kręgosłup Szyjny, Ramiona i Barki ♥ Zdrowy Kręgosłup","Kręgosłup, Ramiona, Barki, Ciąża","15","Małgorzata Mostowska","Sesja jogi skupia się na kręgosłupie szyjnym, ramionach i barkach, oferując pozycje na redukcję bólu pleców.","2","Brak","https://www.youtube.com/watch?v=qX33hi03VME"
"Joga w Ciąży - Przygotuj Umysł i Ciało do Porodu","Ciąża, Relaks, Rozciąganie, Przygotowanie","26","Małgorzata Mostowska","Zestaw ćwiczeń jogi dla kobiet w ciąży, pomagających w relaksacji i przygotowaniu ciała do porodu.","2","Brak","https://www.youtube.com/watch?v=3vJLVxRvIsk"
"Joga Dla Kobiet w Ciąży  - Na Dobry Nastrój i Każdy Trymestr","Ciąża, Relaks, Rozciąganie, Przygotowanie","30","Małgorzata Mostowska","Bezpieczne ćwiczenia jogi dla kobiet w ciąży, które pomagają w relaksacji i rozciąganiu ciała.","2","Brak","https://www.youtube.com/watch?v=ixfuWrejncE"
"Relaksacja Jacobsona - Na Stres, Niepokój i Lęk","Relaks, Oddech, Uważność, Stres","25","Małgorzata Mostowska","Relaksacja Jacobsona skoncentrowana na redukcji stresu, niepokoju i lęku poprzez techniki oddechowe.","2","Brak","https://www.youtube.com/watch?v=X1HXg6BkKw0"
"Joga na Zdrowy Kręgosłup - Plecy bez Bólu","Kręgosłup, Biodra, Relaks, Wzmacnianie","20","Małgorzata Mostowska","Sesja jogi nastawiona na zdrowie kręgosłupa, w tym ćwiczenia wzmacniające i rozciągające plecy.","2","Brak","https://www.youtube.com/watch?v=PNvj3k8DH_s"
"Joga na Zdrowy Kręgosłup - 5 Pozycji na Ból Kregosłupa","Kręgosłup, Łagodna, Zdrowie, Rozciąganie","6","Małgorzata Mostowska","Praktyka przedstawia pięć pozycji jogi na zdrowy kręgosłup, które są łagodne i bezpieczne do wykonywania codziennie.","2","Brak","https://www.youtube.com/watch?v=dpjftz9jLOI"
"Joga Rozciąganie - Nogi, Biodra, Pośladki","Biodra, Nogi, Pośladki, Rozciąganie","12","Małgorzata Mostowska","Praktyka jogi skupia się na rozciąganiu dolnych partii ciała, szczególnie nóg, bioder i pośladków.","2","Brak","https://www.youtube.com/watch?v=pn0isbgkQqo"
"Joga Wyciszajaca - Praktyka na Stres","Relaks, Wyciszanie, Stres, Spokój","15","Małgorzata Mostowska","Praktyka jogi wyciszającej, łagodząca napięcia ciała i umysłu, odpowiednia zarówno dla początkujących jak i zaawansowanych.","2","Brak","https://www.youtube.com/watch?v=qTsyJx4yBiE"
"Rozciągająca Joga na Poprawę Elastyczności #2","Elastyczność, Rozciąganie, Wyciszenie, Praktyka","22","Małgorzata Mostowska","Rozciągająca praktyka jogi poprawiająca elastyczność, idealna po treningu lub przed snem.","2","Brak","https://www.youtube.com/watch?v=6zfSW_R90kM"
"Rozciągająca Joga na Poprawę Elastyczności #1","Elastyczność, Rozciąganie, Praktyka, Poranek","13","Małgorzata Mostowska","Krótka praktyka rozciągająca, idealna do wykonania rano lub po treningu.","2","Brak","https://www.youtube.com/watch?v=1RTzCJ56lMk"
"Poranna Joga na Rozbudzenie z PNŚ ❤","Poranek, Rozbudzenie, Krótka sesja, Praktyka","5","Małgorzata Mostowska","Poranna joga na rozbudzenie, prosty zestaw do wykonania w krótkim czasie.","2","Brak","https://www.youtube.com/watch?v=uPWeJ0809f8"
"Joga na Nogi i Pośladki - Power Vinyasa Flow","Nogi, Pośladki, Power Vinyasa, Trening","34","Małgorzata Mostowska","Dynamiczna sesja Power Vinyasa Flow, koncentrująca się na wzmocnieniu nóg i pośladków.","4","Brak","https://www.youtube.com/watch?v=ZaS05LXZ8wo"
"Poranna Joga na Rozruszanie i Dobry Nastrój ☀️ Vinyasa Flow","Poranek, Vinyasa, Relaks, Nastrój","13","Małgorzata Mostowska","Poranna sesja Vinyasa Flow mająca na celu rozruszanie i poprawę nastroju.","2","Brak","https://www.youtube.com/watch?v=EehVtDnsQFA"
"Joga i Pozycja Tancerza 💚 Wzmacnianie i Otwieranie","Wzmacnianie, Otwieranie, Pozycja Tancerza, Dynamiczna","34","Małgorzata Mostowska","Sesja jogi skupiająca się na przygotowaniu do pozycji tancerza, z elementami wzmacniania i równowagi.","3","Brak","https://www.youtube.com/watch?v=hQuv9k1jwto"
"Elastyczny Kręgosłup - Vinyasa Flow","Kręgosłup, Vinyasa, Dynamiczna, Wzmacnianie","30","Małgorzata Mostowska","Dynamiczna sesja Vinyasa Flow skupiająca się na elastyczności i wzmacnianiu kręgosłupa.","4","Brak","https://www.youtube.com/watch?v=Q2Wqp3-WGA0"
"Power Joga na Płaski Brzuch i Boczki - Vinyasa Flow","Vinyasa, Brzuch, Wzmacnianie, Relaks","29","Małgorzata Mostowska","Dynamiczna praktyka Power Jogi skoncentrowana na wzmacnianiu i wyszczuplaniu brzucha oraz całego ciała.","4","Brak","https://www.youtube.com/watch?v=M3mBR4hAWyo"
"Spokojna Joga na Drażliwe Jelito","Relaks, Trawienie, Spokojna Joga, Zespół jelita drażliwego","18","Małgorzata Mostowska","Relaksacyjna joga zaprojektowana, aby poprawić trawienie i złagodzić objawy zespołu jelita drażliwego.","2","Brak","https://www.youtube.com/watch?v=UScvytUdccc"
"Powitanie Słońca B - Joga Energetyczna","Energia, Poranek, Rozgrzewka, Dynamiczna Joga","9","Małgorzata Mostowska","Energetyczna praktyka Powitania Słońca B, idealna na rozpoczęcie dnia i rozbudzenie ciała.","3","Brak","https://www.youtube.com/watch?v=5vl5rv41e_8"
"Yin Joga Bali - Rozciąganie Nóg + Otwarte Biodra","Rozciąganie, Biodra, Relaks, Yin Joga","45","Małgorzata Mostowska","Spokojna praktyka yin jogi, skoncentrowana na rozciąganiu nóg i otwieraniu bioder.","2","Brak","https://www.youtube.com/watch?v=fbMNFehDvUI"
"Energetyczna Power Joga z Bali","Flow, Siła, Energia, Power Joga","30","Małgorzata Mostowska","Dynamiczna praktyka Power Jogi, idealna do odchudzania w krótkim czasie.","4","Brak","https://www.youtube.com/watch?v=5QQvxpiE8QA"
"Yin Joga z Bali ♥ Zdrowy Kręgosłup i Otwarte Biodra","Kręgosłup, Biodra, Relaks, Yin Joga","45","Małgorzata Mostowska","Rozluźniająca yin joga skupiona na zdrowym kręgosłupie i otwartych biodrach.","2","Brak","https://www.youtube.com/watch?v=rhualsMpI1I"
"Joga na Zdrowy Kręgosłup i Barki","Kręgosłup, Barki, Hatha","15","Małgorzata Mostowska","15-minutowa sekwencja jogi wzmacniająca i uelastyczniająca kręgosłup oraz barki.","2","Brak","https://www.youtube.com/watch?v=M6WnsQQMiUI"
"Power Joga Dynamiczna ♥ Flow","Vinyasa, Power Joga, Siła","21","Małgorzata Mostowska","Dynamiczna 20-minutowa sesja jogi ukierunkowana na odchudzanie i wysmuklenie ciała.","4","Brak","https://www.youtube.com/watch?v=MEJJAaQahTA"
"Ratatuj Joga - Gdy Nie Wiesz Co Wybrać","Relaks, Wzmacnianie, Flow","11","Małgorzata Mostowska","Sesja jogi łącząca różne elementy, takie jak wzmacnianie, rozciąganie i relaksacja.","3","Brak","https://www.youtube.com/watch?v=baAh-6hq5z4"
"Joga Dynamiczna Inspirowana Ashtanga Vinyasa","Vinyasa, Siła, Dynamiczna, Kręgosłup","15","Małgorzata Mostowska","Joga dynamiczna inspirowana ashtanga vinyasa to 15 minut energicznych ćwiczeń, które angażują całe ciało.","3","Brak","https://www.youtube.com/watch?v=pWADhpMBK4w"
"Joga na Kręgosłup Lędźwiowy ♥ Zdrowy Kręgosłup z Gosią","Kręgosłup, Łagodna, Wzmocnienie, Uelastycznienie","15","Małgorzata Mostowska","Joga na kręgosłup lędźwiowy to łagodna sesja, która pomaga wzmocnić i uelastycznić plecy.","2","Brak","https://www.youtube.com/watch?v=0hwl1gQVOTk"
"Medytacja Uważności cz. V ♥ Mindfulness dla Początkujących","Medytacja, Mindfulness, Łagodna, Relaks","10","Małgorzata Mostowska","Medytacja uważności, która koncentruje się na świadomym obserwowaniu myśli.","1","Brak","https://www.youtube.com/watch?v=dG32hhe30wY"
"Joga Wyciszanie i Relaksacja - Praktyka Godzinna cz. IV","Relaks, Wyciszanie, Spokój, Uważność","13","Małgorzata Mostowska","Joga wyciszająca i relaksacja to spokojna praktyka, która pozwala zredukować stres.","2","Brak","https://www.youtube.com/watch?v=6aNaK_awvCE"
"Joga Rozciąganie - Praktyka Godzinna cz. III","Rozciąganie, Relaks, Praktyka Godzinna, Spokój","10","Małgorzata Mostowska","Joga rozciągająca to sesja stawiająca na efektywne rozciąganie i relaks ciała.","2","Brak","https://www.youtube.com/watch?v=dbPFGCitGmg"
"Power Joga - Praktyka Godzinna cz. II","Power Yoga, Vinyasa, Intensywna, Dynamiczna","16","Małgorzata Mostowska","Power joga to intensywna praktyka w stylu Vinyasa flow, angażująca całe ciało.","4","Brak","https://www.youtube.com/watch?v=ZkH5gwFyUcA"
"Joga Rozgrzewka - Praktyka Godzinna cz. I","Rozgrzewka, Praktyka Godzinna, Dynamiczna, Elastyczność","11","Małgorzata Mostowska","Joga rozgrzewająca to praktyka stworzona na rozpoczęcie każdej sesji jogowej.","2","Brak","https://www.youtube.com/watch?v=3L5VSw-609w"
"Moja Praktyka - Inspiracje Jogowe #3","Poranek, Vinyasa, Rozluźnianie, Inspiracja","4","Małgorzata Mostowska","Praktyka jogi w przyspieszonym tempie, skupiająca się na płynnych przejściach między pozycjami.","3","Brak","https://www.youtube.com/watch?v=-z4SZp6-eyg"
"Odprężająca Yin Joga - Rozciąganie i Rozluźnianie","Relaks, Yin, Rozciąganie, Umysł","26","Małgorzata Mostowska","Praktyka yin jogi, która koncentruje się na rozluźnianiu mięśni i wyciszeniu umysłu.","1","Brak","https://www.youtube.com/watch?v=D8Y8PCt2ia0"
"Detoks Joga w Górach z Gosią ♥","Detoks, Energia, Wzmacnianie, Kręgosłup","17","Małgorzata Mostowska","Joga energetyczna skoncentrowana na poprawie trawienia oraz wzmocnieniu ciała.","4","Brak","https://www.youtube.com/watch?v=DKRuW9KEYHk"
"Poranne Espresso - Joga na Rozbudzenie!","Poranek, Rozbudzenie, Sekwencja, Energia","12","Małgorzata Mostowska","Krótka sekwencja jogi na poranek mająca na celu rozbudzenie ciała.","2","Brak","https://www.youtube.com/watch?v=tlURF4V124k"
"Odprężająca Joga Po Pracy","Relaks, Łagodna, Wieczorna, Spokojna","14","Małgorzata Mostowska","Ta praktyka to odprężająca joga, idealna po długim dniu pracy, koncentrująca się na relaksacji i spokojnym oddychaniu.","2","Brak","https://www.youtube.com/watch?v=m5vOyk7IR7M"
"Joga po Porodzie - dla Świeżych Mam ❤","Brzuch, Dno miednicy, Kręgosłup, Odżywienie","21","Małgorzata Mostowska","Joga po porodzie skupia się na wzmacnianiu mięśni dna miednicy oraz brzucha, a także na poprawie kręgosłupa po dźwiganiu dziecka.","3","Brak","https://www.youtube.com/watch?v=d8gxykGKZdY"
"Joga dla Seniorów - Ćwiczenia 60+","Seniorzy, Łagodna, Spokojna, Rozciąganie","22","Małgorzata Mostowska","Joga dla seniorów to wolna i łagodna praktyka, skoncentrowana na spokojnym oddychaniu i delikatnych ruchach.","2","Brak","https://www.youtube.com/watch?v=Jda_fyziRiY"
"Joga przy Biurku - Przerwa w Pracy","Relaks, Przy biurku, Stretching, Szybka praktyka","8","Małgorzata Mostowska","Krótka praktyka jogi przy biurku, która pozwala na rozciągnięcie ciała podczas przerwy w pracy.","2","Brak","https://www.youtube.com/watch?v=MGqNQdq2Udg"
"Joga i Pozycja Syreny 💚 Rozciąganie i Otwieranie","Biodra, Klatka piersiowa, Rozciąganie, Wzmocnienie","26","Małgorzata Mostowska","W praktyce skupiamy się na pozycji syreny, rozciągając biodra oraz klatkę piersiową, co jest korzystne dla osób spędzających dużo czasu w pozycji siedzącej.","2","Brak","https://www.youtube.com/watch?v=syEUv2I9MEI"
"Relaksująca Yin Joga - Rozciąganie Górnych Parti Ciała","Yin, Relaks, Górne partie ciała, Rozciąganie","33","Małgorzata Mostowska","Rozciągamy górne partie ciała w spokojnej sesji yin jogi, koncentrując się na rozluźnieniu i wyciszeniu.","1","Brak","https://www.youtube.com/watch?v=sL2er4etUOw"
"Powitanie Księżyca - Joga na Pełnię i Nów","Dla początkujących, Księżyc, Rozciąganie, Relaks","12","Małgorzata Mostowska","Sesja jogi powitana księżyca, dedykowana dniom nów i pełni, wykonana zarówno przez początkujących, jak i zaawansowanych.","2","Brak","https://www.youtube.com/watch?v=pG8iuJfAREc"
"Joga na Kolana - Wrażliwe Kolana w Praktyce","Kolana, Bezpieczeństwo, Łagodna, Dla początkujących","16","Małgorzata Mostowska","Łagodna praktyka jogi, koncentrująca się na technikach bezpiecznego ćwiczenia dla osób z wrażliwymi kolanami.","2","Brak","https://www.youtube.com/watch?v=aI89Aug6nX0"
"Joga na Pogłębianie Skłonów","Skłony, Rozluźnianie, Dla wszystkich, Kręgosłup","23","Małgorzata Mostowska","Praktyka jogi pomagająca pogłębić skłony, jednocześnie rozluźniając i rozciągając ciało, co jest korzystne dla kręgosłupa.","3","Brak","https://www.youtube.com/watch?v=G7Oc7zHmm7I"
